"Meldejahr","STATIONS_ID","Geschlecht","Inzidenz","Jahrestemperatur","Jahresniederschlag","LandkreisID","Kreis","Bevölkerung_Insg","Bevölkerungsentwicklung","Bevölkerung","Bundesland","Wintertemperatur","Wintertemperatur_Vorjahr","Frühlingsniederschlag","Sommerniederschlag","Sommertemperatur","Gesamt_Inzidenz"
2011,"3166","weiblich",25.83,NA,850.7,"14521","Erzgebirgskreis",328850,-0.22,167859,"Sachsen",-0.546666666666667,-4.82333333333333,103.5,140.866666666667,13.065,49.43
2012,"3166","männlich",13.85,7.22,791.7,"14521","Erzgebirgskreis",328850,-0.22,160991,"Sachsen",-2.57333333333333,-0.546666666666667,70.4,81.2333333333333,14.3833333333333,31.43
2012,"3166","weiblich",17.58,7.22,791.7,"14521","Erzgebirgskreis",328850,-0.22,167859,"Sachsen",-2.57333333333333,-0.546666666666667,70.4,81.2333333333333,14.3833333333333,31.43
2013,"3166","männlich",35,6.71,1044.3,"14521","Erzgebirgskreis",328850,-0.22,160991,"Sachsen",-1.03,-2.57333333333333,219.15,162.266666666667,13.85,62.24
2013,"3166","weiblich",27.24,6.71,1044.3,"14521","Erzgebirgskreis",328850,-0.22,167859,"Sachsen",-1.03,-2.57333333333333,219.15,162.266666666667,13.85,62.24
2014,"3166","männlich",43.28,8.62,NA,"14521","Erzgebirgskreis",328850,-0.22,160991,"Sachsen",1.16666666666667,-1.03,97.5,97.5,13.9633333333333,86.95
2014,"3166","weiblich",43.67,8.62,NA,"14521","Erzgebirgskreis",328850,-0.22,167859,"Sachsen",1.16666666666667,-1.03,97.5,97.5,13.9633333333333,86.95
2015,"3166","männlich",31.11,8.32,757.9,"14521","Erzgebirgskreis",328850,-0.22,160991,"Sachsen",1.45,1.16666666666667,52.8,71.9666666666667,14.2333333333333,71.15
2015,"3166","weiblich",40.04,8.32,757.9,"14521","Erzgebirgskreis",328850,-0.22,167859,"Sachsen",1.45,1.16666666666667,52.8,71.9666666666667,14.2333333333333,71.15
2016,"3166","männlich",67.66,7.76,812.7,"14521","Erzgebirgskreis",328850,-0.22,160991,"Sachsen",0.426666666666667,1.45,66.15,71.1,14.8233333333333,151.92
2016,"3166","weiblich",84.26,7.76,812.7,"14521","Erzgebirgskreis",328850,-0.22,167859,"Sachsen",0.426666666666667,1.45,66.15,71.1,14.8233333333333,151.92
2017,"3166","männlich",56.45,7.81,873.8,"14521","Erzgebirgskreis",328850,-0.22,160991,"Sachsen",-0.69,0.426666666666667,53.35,76.1666666666667,15.0833333333333,128.35
2017,"3166","weiblich",71.9,7.81,873.8,"14521","Erzgebirgskreis",328850,-0.22,167859,"Sachsen",-0.69,0.426666666666667,53.35,76.1666666666667,15.0833333333333,128.35
2018,"3166","männlich",58.11,8.57,NA,"14521","Erzgebirgskreis",328850,-0.22,160991,"Sachsen",-0.593333333333333,-0.69,47.3,45.5,15.8866666666667,139.28
2018,"3166","weiblich",81.17,8.57,NA,"14521","Erzgebirgskreis",328850,-0.22,167859,"Sachsen",-0.593333333333333,-0.69,47.3,45.5,15.8866666666667,139.28
2019,"3166","männlich",83.6,8.63,827.2,"14521","Erzgebirgskreis",328850,-0.22,160991,"Sachsen",0.836666666666667,-0.593333333333333,80.3,67.5666666666667,14.96,199.35
2019,"3166","weiblich",115.75,8.63,827.2,"14521","Erzgebirgskreis",328850,-0.22,167859,"Sachsen",0.836666666666667,-0.593333333333333,80.3,67.5666666666667,14.96,199.35
2020,"3166","männlich",69.56,8.61,775.9,"14521","Erzgebirgskreis",328850,-0.22,160991,"Sachsen",2.14666666666667,0.836666666666667,80.75,65.8333333333333,13.4266666666667,152.76
2020,"3166","weiblich",83.2,8.61,775.9,"14521","Erzgebirgskreis",328850,-0.22,167859,"Sachsen",2.14666666666667,0.836666666666667,80.75,65.8333333333333,13.4266666666667,152.76
2021,"3166","männlich",60.28,7.13,999.7,"14521","Erzgebirgskreis",328850,-0.22,160991,"Sachsen",-0.56,2.14666666666667,108.75,144.6,14.28,161.01
2021,"3166","weiblich",100.73,7.13,999.7,"14521","Erzgebirgskreis",328850,-0.22,167859,"Sachsen",-0.56,2.14666666666667,108.75,144.6,14.28,161.01
2022,"3166","männlich",76.4,8.48,671.3,"14521","Erzgebirgskreis",328850,-0.22,160991,"Sachsen",0.81,-0.56,37.55,46.9666666666667,15.5766666666667,170.53
2022,"3166","weiblich",94.13,8.48,671.3,"14521","Erzgebirgskreis",328850,-0.22,167859,"Sachsen",0.81,-0.56,37.55,46.9666666666667,15.5766666666667,170.53
2023,"3166","männlich",74.54,8.71,NA,"14521","Erzgebirgskreis",328850,-0.22,160991,"Sachsen",1.43666666666667,0.81,21.4,42.8,14.8733333333333,157.35
