"Meldejahr","STATIONS_ID","Geschlecht","Inzidenz","Jahrestemperatur","Jahresniederschlag","LandkreisID","Kreis","Bevölkerung_Insg","Bevölkerungsentwicklung","Bevölkerung","Bundesland","Wintertemperatur","Wintertemperatur_Vorjahr","Frühlingsniederschlag","Sommerniederschlag","Sommertemperatur","Inzidenz_log","Gesamt_Inzidenz"
2015,"3166","weiblich",40,8.32,757.9,"14521","Erzgebirgskreis",328850,-0.22,167859,"Sachsen",1.45,1.16666666666667,52.8,71.9666666666667,14.2333333333333,3.71357206670431,71
2016,"3166","männlich",68,7.76,812.7,"14521","Erzgebirgskreis",328850,-0.22,160991,"Sachsen",0.426666666666667,1.45,66.15,71.1,14.8233333333333,4.23410650459726,152
2016,"3166","weiblich",84,7.76,812.7,"14521","Erzgebirgskreis",328850,-0.22,167859,"Sachsen",0.426666666666667,1.45,66.15,71.1,14.8233333333333,4.44265125649032,152
2017,"3166","männlich",56,7.81,873.8,"14521","Erzgebirgskreis",328850,-0.22,160991,"Sachsen",-0.69,0.426666666666667,53.35,76.1666666666667,15.0833333333333,4.04305126783455,128
2017,"3166","weiblich",72,7.81,873.8,"14521","Erzgebirgskreis",328850,-0.22,167859,"Sachsen",-0.69,0.426666666666667,53.35,76.1666666666667,15.0833333333333,4.29045944114839,128
2019,"3166","männlich",84,8.63,827.2,"14521","Erzgebirgskreis",328850,-0.22,160991,"Sachsen",0.836666666666667,-0.593333333333333,80.3,67.5666666666667,14.96,4.44265125649032,200
2019,"3166","weiblich",116,8.63,827.2,"14521","Erzgebirgskreis",328850,-0.22,167859,"Sachsen",0.836666666666667,-0.593333333333333,80.3,67.5666666666667,14.96,4.76217393479776,200
2020,"3166","männlich",70,8.61,775.9,"14521","Erzgebirgskreis",328850,-0.22,160991,"Sachsen",2.14666666666667,0.836666666666667,80.75,65.8333333333333,13.4266666666667,4.26267987704132,153
2020,"3166","weiblich",83,8.61,775.9,"14521","Erzgebirgskreis",328850,-0.22,167859,"Sachsen",2.14666666666667,0.836666666666667,80.75,65.8333333333333,13.4266666666667,4.43081679884331,153
2021,"3166","männlich",60,7.13,999.7,"14521","Erzgebirgskreis",328850,-0.22,160991,"Sachsen",-0.56,2.14666666666667,108.75,144.6,14.28,4.11087386417331,161
2021,"3166","weiblich",101,7.13,999.7,"14521","Erzgebirgskreis",328850,-0.22,167859,"Sachsen",-0.56,2.14666666666667,108.75,144.6,14.28,4.62497281328427,161
